Country,AI_usage_score,AI_usage_percent
Afghanistan,11.1,65.29411764705883
Albania,10.714285714285714,63.02521008403361
Algeria,12.666666666666666,74.50980392156863
Andorra,9.8,57.64705882352942
Angola,12.857142857142858,75.63025210084034
Antigua and Barbuda,9.5,55.88235294117647
Argentina,10.64423076923077,62.613122171945705
Armenia,10.052631578947368,59.13312693498452
Australia,8.21484375,48.322610294117645
Austria,8.3275,48.98529411764706
Azerbaijan,12.0,70.58823529411765
Bahrain,10.0,58.82352941176471
Bangladesh,12.119565217391305,71.29156010230179
Barbados,13.333333333333334,78.43137254901961
Belarus,9.4,55.294117647058826
Belgium,8.690553745928339,51.12090438781376
Belize,9.0,52.94117647058824
Benin,11.5,67.64705882352942
Bhutan,13.0,76.47058823529412
Bolivia,11.411764705882353,67.12802768166091
Bosnia and Herzegovina,9.642857142857142,56.72268907563025
Botswana,12.0,70.58823529411765
Brazil,10.372093023255815,61.01231190150479
Brunei Darussalam,15.5,91.17647058823529
Bulgaria,9.758474576271187,57.40279162512463
Burundi,12.0,70.58823529411765
Cambodia,13.375,78.67647058823529
Cameroon,12.9,75.88235294117646
Canada,8.171912832929783,48.07007548782225
Cape Verde,12.0,70.58823529411765
Chile,10.908333333333333,64.16666666666666
China,11.540425531914893,67.88485607008761
Colombia,11.510526315789473,67.70897832817337
"Congo, Republic of the...",14.666666666666666,86.27450980392156
Costa Rica,11.538461538461538,67.87330316742081
Croatia,9.141509433962264,53.77358490566038
Cuba,11.875,69.85294117647058
Cyprus,10.485714285714286,61.680672268907564
Czech Republic,9.090909090909092,53.475935828877006
Côte d'Ivoire,12.166666666666666,71.56862745098039
Democratic People's Republic of Korea,11.666666666666666,68.62745098039215
Democratic Republic of the Congo,14.0,82.35294117647058
Denmark,8.606666666666667,50.62745098039216
Djibouti,14.0,82.35294117647058
Dominican Republic,12.217391304347826,71.86700767263427
Ecuador,10.703703703703704,62.96296296296296
Egypt,11.623931623931623,68.37606837606837
El Salvador,11.4,67.05882352941177
Estonia,8.373134328358208,49.25373134328358
Ethiopia,12.848484848484848,75.57932263814617
Fiji,7.75,45.588235294117645
Finland,8.03238866396761,47.249345082162414
France,8.242175856929956,48.48338739370563
Gabon,,
Gambia,11.0,64.70588235294117
Georgia,10.106382978723405,59.44931163954944
Germany,8.186159169550173,48.153877467942195
Ghana,12.717948717948717,74.81146304675717
Greece,10.341772151898734,60.83395383469844
Guatemala,11.535714285714286,67.85714285714286
Guinea,,
Guinea-Bissau,4.0,23.52941176470588
Guyana,8.333333333333334,49.01960784313726
Haiti,13.5,79.41176470588235
Honduras,12.0,70.58823529411765
Hong Kong (S.A.R.),10.434782608695652,61.38107416879796
Hungary,8.715555555555556,51.267973856209146
Iceland,9.846153846153847,57.9185520361991
India,11.757096323871568,69.159390140421
Indonesia,11.679012345679013,68.70007262164125
"Iran, Islamic Republic of...",11.579710144927537,68.11594202898551
Iraq,8.727272727272727,51.33689839572192
Ireland,8.892156862745098,52.306805074971166
Isle of Man,5.4,31.764705882352946
Israel,10.485074626865671,61.67690956979806
Italy,9.689171974522292,56.99512926189584
Jamaica,8.666666666666666,50.98039215686274
Japan,9.497175141242938,55.86573612495845
Jordan,10.642857142857142,62.60504201680672
Kazakhstan,8.857142857142858,52.10084033613446
Kenya,12.590909090909092,74.06417112299467
Kosovo,12.333333333333334,72.54901960784315
Kuwait,13.666666666666666,80.3921568627451
Kyrgyzstan,10.0,58.82352941176471
Lao People's Democratic Republic,12.5,73.52941176470588
Latvia,9.372881355932204,55.1345962113659
Lebanon,10.0,58.82352941176471
Lesotho,12.0,70.58823529411765
Libyan Arab Jamahiriya,13.5,79.41176470588235
Lithuania,8.64516129032258,50.853889943074
Luxembourg,9.263157894736842,54.48916408668731
Madagascar,11.272727272727273,66.31016042780749
Malawi,11.666666666666666,68.62745098039215
Malaysia,10.987341772151899,64.63142218912881
Maldives,10.0,58.82352941176471
Mali,14.5,85.29411764705883
Malta,11.263157894736842,66.25386996904025
Mauritania,9.0,52.94117647058824
Mauritius,12.222222222222221,71.89542483660131
Mexico,10.908745247148289,64.16908968910758
"Micronesia, Federated States of...",14.0,82.35294117647058
Moldova,11.875,69.85294117647058
Mongolia,12.0,70.58823529411765
Montenegro,9.933333333333334,58.43137254901961
Morocco,11.148936170212766,65.5819774718398
Mozambique,12.0,70.58823529411765
Myanmar,12.416666666666666,73.0392156862745
Namibia,13.0,76.47058823529412
Nepal,12.35897435897436,72.69984917043742
Netherlands,8.736342042755345,51.390247310325556
New Zealand,8.360655737704919,49.180327868852466
Nicaragua,11.5,67.64705882352942
Niger,17.0,100.0
Nigeria,12.848837209302326,75.5813953488372
Nomadic,6.04,35.529411764705884
North Korea,9.333333333333334,54.90196078431373
Norway,8.45374449339207,49.72790878465924
Oman,10.8,63.52941176470589
Pakistan,12.38423645320197,72.84844972471747
Palau,9.0,52.94117647058824
Palestine,12.833333333333334,75.49019607843137
Panama,13.0,76.47058823529412
Papua New Guinea,12.0,70.58823529411765
Paraguay,11.473684210526315,67.4922600619195
Peru,11.60344827586207,68.2555780933063
Philippines,11.123076923076923,65.42986425339366
Poland,8.778313253012048,51.63713678242381
Portugal,9.966666666666667,58.62745098039216
Qatar,12.6,74.11764705882354
Republic of Korea,9.86111111111111,58.006535947712415
Republic of Moldova,8.0,47.05882352941176
Republic of North Macedonia,11.11111111111111,65.359477124183
Romania,9.543046357615895,56.135566809505264
Russian Federation,8.357512953367875,49.16184090216397
Rwanda,14.0,82.35294117647058
Saint Lucia,15.5,91.17647058823529
San Marino,8.0,47.05882352941176
Saudi Arabia,11.741935483870968,69.07020872865274
Senegal,10.75,63.23529411764706
Serbia,9.664473684210526,56.849845201238395
Sierra Leone,16.0,94.11764705882352
Singapore,9.783132530120483,57.54783841247343
Slovakia,9.620437956204379,56.59081150708458
Slovenia,8.324324324324325,48.96661367249603
Somalia,13.333333333333334,78.43137254901961
South Africa,9.7625,57.42647058823529
South Korea,11.340909090909092,66.71122994652407
Spain,9.678466076696164,56.93215339233038
Sri Lanka,12.566265060240964,73.91920623671156
Sudan,13.0,76.47058823529412
Suriname,11.5,67.64705882352942
Swaziland,9.4,55.294117647058826
Sweden,8.345117845117844,49.0889285006932
Switzerland,8.721904761904762,51.305322128851536
Syrian Arab Republic,10.0,58.82352941176471
Taiwan,10.964285714285714,64.49579831932772
Tajikistan,12.0,70.58823529411765
Thailand,10.490196078431373,61.70703575547867
Timor-Leste,14.0,82.35294117647058
Togo,11.666666666666666,68.62745098039215
Trinidad and Tobago,11.285714285714286,66.38655462184875
Tunisia,11.24390243902439,66.14060258249641
Turkey,10.567049808429118,62.15911652017129
Turkmenistan,13.5,79.41176470588235
Uganda,12.95,76.17647058823529
Ukraine,10.771043771043772,63.35908100613983
United Arab Emirates,11.544303797468354,67.90766939687268
United Kingdom of Great Britain and Northern Ireland,7.7047082906857725,45.32181347462219
United Republic of Tanzania,9.428571428571429,55.46218487394958
United States of America,8.295606633692174,48.7976860805422
Uruguay,10.382978723404255,61.07634543178973
Uzbekistan,12.4,72.94117647058825
"Venezuela, Bolivarian Republic of...",11.933333333333334,70.19607843137256
Viet Nam,11.44,67.29411764705881
Yemen,12.357142857142858,72.6890756302521
Zambia,12.076923076923077,71.04072398190046
Zimbabwe,10.923076923076923,64.25339366515837
